Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/31/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",DE,19668,,N/A,Postal mail,08/26/2013,Closed with explanation,Yes,No,501508
07/30/2013,Credit card,,Credit determination,,,,Wells Fargo & Company,CA,95409,Older American,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469738
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CO,80206,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469739
07/30/2013,Credit card,,Credit determination,,,,Bank of America,FL,34983,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,469752
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Professional Debt Mediation, Inc.",FL,32304,,N/A,Web,09/19/2013,Closed with explanation,Yes,No,469753
07/30/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,"Select Portfolio Servicing, Inc",NY,11234,,N/A,Web,07/29/2013,Closed with explanation,Yes,Yes,466892
07/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays PLC,SC,29412,,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469755
07/31/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Capital One,GA,30126,,N/A,Web,08/02/2013,Closed with explanation,Yes,No,470928
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,91320,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,476001
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NC,28075,Servicemember,N/A,Referral,08/05/2013,Closed with explanation,Yes,No,470978
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,MN,55390,,N/A,Postal mail,08/12/2013,Closed with explanation,Yes,No,469777
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IA,50325,,N/A,Postal mail,08/12/2013,Closed with explanation,Yes,No,469781
07/30/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",OH,43701,,N/A,Web,07/30/2013,Closed with explanation,Yes,Yes,479487
07/31/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,IL,60633,,N/A,Postal mail,08/02/2013,Closed with non-monetary relief,Yes,No,470951
07/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Receivables Performance Management LLC,NY,11205,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,470955
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,NC,28457,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470012
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AL,36526,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470091
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NJ,07111,,N/A,Referral,08/19/2013,Closed with non-monetary relief,Yes,No,469792
07/31/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",IL,60633,,N/A,Postal mail,08/02/2013,Closed with explanation,Yes,No,470962
07/31/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,FL,33186,,N/A,Referral,08/02/2013,Closed with monetary relief,Yes,No,471071
07/31/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,U.S. Bancorp,WI,53130,,N/A,Referral,08/05/2013,Closed with explanation,Yes,No,470985
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,93111,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470103
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,AL,36854,,N/A,Referral,07/31/2013,Closed with monetary relief,Yes,No,470206
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33558,,N/A,Phone,11/03/2013,Closed with explanation,Yes,No,470970
